台湾晴天美国,#genre#
靖天综合,mitv://generationnexxxt.com:19806/ed2e3f294dcc40c1b72aba372fbed64d
靖天国际台,mitv://generationnexxxt.com:19806/12d39bada24843588ad72a3175b785a2
靖天欢乐台,mitv://generationnexxxt.com:19806/439163cf3469473b8ffd582b687991be
靖天日本台,mitv://generationnexxxt.com:19806/c88dcc9ddf6747b991fc1a0db939147d
MOMO综合,mitv://generationnexxxt.com:19806/659391fc000353d298b54dbe4b486dab
MOMO综合,P2p://generationnexxxt.com:19806/659391fc000353d298b54dbe4b486dab
TVBS HD,mitv://generationnexxxt.com:19806/9fb651a7ec2e402588a0752ba1035476
TVBS,P2p://generationnexxxt.com:19806/9fb651a7ec2e402588a0752ba1035476
TVBS亚洲台,mitv://generationnexxxt.com:19806/5459e179cc3b4ea49e5b6ed6a4f298c9
Tvbs新闻,mitv://generationnexxxt.com:19806/6a155a5d7bea461b980b4fa559119a60
TVBS新闻,P2p://generationnexxxt.com:19806/6a155a5d7bea461b980b4fa559119a60
壹电视新闻,mitv://generationnexxxt.com:19806/31dad83ef5b74c5db225482cd2e0fbae
壹电视新闻,P2p://generationnexxxt.com:19806/31dad83ef5b74c5db225482cd2e0fbae
中视新闻,http://livetv.skycf.eu.org/live.m3u8?c=6
中视新闻,mitv://generationnexxxt.com:19806/cb5965a89e434df7aeb66b2364116ae4
中天新闻,http://livetv.skycf.eu.org/live.m3u8?c=7
中天新闻,mitv://generationnexxxt.com:19806/bd9064ee198045a386f1f2dba5073f4e
中天新闻,P2p://generationnexxxt.com:19806/e92e93fd67794e92acdc0d4005f0781a
中天新闻,P2p://generationnexxxt.com:19806/bd9064ee198045a386f1f2dba5073f4e
三立新闻,http://livetv.skycf.eu.org/live.m3u8?c=12
三立新闻,mitv://generationnexxxt.com:19806/9388262af2604cc798800736d070d39e
三立新闻,P2p://generationnexxxt.com:19806/9388262af2604cc798800736d070d39e
三立新闻,P2p://generationnexxxt.com:19806/96118abbe8ee48ddaef2c9c1cea1af04
台视新闻,http://livetv.skycf.eu.org/live.m3u8?c=4
台视新闻,mitv://generationnexxxt.com:19806/9817b59742464113bd5656fcc7dced84
民视新闻,mitv://generationnexxxt.com:19806/d24f18e610d248b7a450d29492b37ebf
民视新闻,P2p://generationnexxxt.com:19806/d24f18e610d248b7a450d29492b37ebf
年代新聞,P2p://generationnexxxt.com:19806/95f67e884d88463e907c301d05fa68b7
年代新聞,P2p://generationnexxxt.com:19806/65ddd162000837a5babd25111eb9560c
镜新闻,mitv://generationnexxxt.com:19806/668a0abb880a496d8f57fad2f580566b
华视新闻,http://livetv.skycf.eu.org/live.m3u8?c=13
华视新闻,mitv://generationnexxxt.com:19806/ebe8db2daafa47768f37bcae17bfe299
华视新聞,P2p://generationnexxxt.com:19806/ebe8db2daafa47768f37bcae17bfe299
寰宇新闻,mitv://generationnexxxt.com:19806/a265fb55774a4554bc2db19b16f53be6
寰宇新闻,mitv://generationnexxxt.com:19806/65b21a80000977cd0ffaa9e72e6218af
公视新闻,http://livetv.skycf.eu.org/live.m3u8?c=8
靖天资讯台,mitv://generationnexxxt.com:19806/5c9d432112fd4d4e92263a34415293fa
HOY 新闻,mitv://generationnexxxt.com:19806/d7a5bbf5664945cc8589b36b8434d68d
HOY 资讯台,mitv://generationnexxxt.com:19806/eb5a565eb80d40509f0a248018dfd337
东森新闻,mitv://generationnexxxt.com:19806/35983e2efd5c44bf84bfb2977bbbc96d
东森新闻,mitv://generationnexxxt.com:19806/e1a899eded4d48578084c61957fb8c2b
东森经财,http://livetv.skycf.eu.org/live.m3u8?c=14
东森财经,P2p://generationnexxxt.com:19806/6596322e000d4091a2f7138e424b32c5
非凡商业,mitv://generationnexxxt.com:19806/0c1ba96949414628ae64fc70c3354e7b
非凡新闻,mitv://generationnexxxt.com:19806/02f80f7aad2c480992e06e1bd8a7facb
非凡新闻,mitv://generationnexxxt.com:19806/02f80f7aad2c480992e06e1bd8a7facb
非凡新闻,P2p://generationnexxxt.com:19806/02f80f7aad2c480992e06e1bd8a7facb
纬来体育,P2p://generationnexxxt.com:19806/79090c69d43040148deaa21d5e26c32a
ELEVEN体育2台,P2p://generationnexxxt.com:19806/057061c0da744aa7b035169dba5ebe2a
爱尔达体育1台,P2p://generationnexxxt.com:19806/38729b9421044022a4d81ee0fe899dcd
爱尔达体育1台,P2p://generationnexxxt.com:19806/68e521d35c0247ddbc5073dee98245a3
爱尔达体育2台,mitv://generationnexxxt.com:19806/d1f16ee235314a0fbc33742ab7af534b
爱尔达体育4台,P2p://generationnexxxt.com:19806/797d51a6805c4a5fac1b71a678228513
博斯魅力网,P2p://generationnexxxt.com:19806/65e1b6530009723ec9f372c730a82585
博斯网球檯,P2p://generationnexxxt.com:19806/6895bdc150744da98afe23ce77e32e51
博斯无限二台,P2p://generationnexxxt.com:19806/65e1b653000eb97ec9f3741f6f4318a0
博斯运动二台,P2p://generationnexxxt.com:19806/65e1b65400075c3dc9f3762355b36cc1
Z频道,mitv://generationnexxxt.com:19806/8789d946039740bda334150ac3138166
探索亚洲,P2p://generationnexxxt.com:19806/0afefbe6244c42dbac40a3d8abef8d07
探索科学,P2p://generationnexxxt.com:19806/39e1494bd82c449892c6f92a6c8dc213
探索频道,mitv://generationnexxxt.com:19806/9f2e92df32b34a569ad7e6818f4732fb
探索频道,P2p://generationnexxxt.com:19806/202aafe50f8947eeac67a09b828f8c40
动物星球,mitv://generationnexxxt.com:19806/5b41e724ea8e4e7eb92e3dac95589165
动物星球,P2p://generationnexxxt.com:19806/ff4ce945b27940f89712c63366f0454d
EYE TV旅游,P2p://generationnexxxt.com:19806/055ce8e749c1425c87950f93d0bf9bcd
TLC旅游生活,mitv://generationnexxxt.com:19806/621ca70412034f5eb919c1ec03679804
亚洲旅游,P2p://generationnexxxt.com:19806/816c4598cfb641f5845b90a3bc772f1c
亚洲美食,P2p://generationnexxxt.com:19806/8a565409a26044bead7e66ac44c894f0
美食星球,P2p://generationnexxxt.com:19806/60c698afbda7443998a2b9fd5c00c54d
达文西频道,P2p://generationnexxxt.com:19806/65939a080006919098d4bd6914a733d2
历史频道,P2p://generationnexxxt.com:19806/63e740392c4641cc9dab02d98b74782f
历史频道,mitv://generationnexxxt.com:19806/e6f506b509c94bacb4a371cdbcbe7719
历史频道,P2p://generationnexxxt.com:19806/e6f506b509c94bacb4a371cdbcbe7719
HGTV居家乐活频道,P2p://generationnexxxt.com:19806/84613e96237545769558cc572e6d1ab0
amc电影,P2p://generationnexxxt.com:19806/24ce0147e36a438eab843a3168cea3bc
Animax,P2p://generationnexxxt.com:19806/9a6969de27b145dc972e19d71c1a8932
AXN,P2p://generationnexxxt.com:19806/893f7dec641a42458f47ccfbd93525ba
CHC动作电影,P2p://generationnexxxt.com:19806/1b4ebad47ed94c6291646a4a5d1ff3b6
CHC高清电影,P2p://generationnexxxt.com:19806/02385419696a411db959037c2190cf11
CHC家庭影院,P2p://generationnexxxt.com:19806/28fb3856055c452db8f17441c99f21cf
CinemaWorld,P2p://generationnexxxt.com:19806/c6efdcd038204b4781cafc2273b4adb3
CinemaWorld,P2p://generationnexxxt.com:19806/e262f40881b2461f9a270b4d9d0b54c3
HBO Family,mitv://generationnexxxt.com:19806/8a0208ebdfa04b5eab112f0c8b01719c
HBO,P2p://generationnexxxt.com:19806/37f11d742fee447ab15f07db28095bd6
HBO,mitv://generationnexxxt.com:19806/37f11d742fee447ab15f07db28095bd6
HBO强档巨献,P2p://generationnexxxt.com:19806/85cdd046958e48a794ff6f2d26b8ceba
HBO原创钜献,P2p://generationnexxxt.com:19806/bd0a33ff8b6f4fe9ba7791ad73c6c16e
HBO原创钜献,P2p://generationnexxxt.com:19806/563a5981b8ad4df085b59ce98bbecb95
东森电影,P2p://generationnexxxt.com:19806/08435f286ac744a0942899c551209779
东森洋片台,P2p://generationnexxxt.com:19806/5e8420f5477344b9b7b39d9e96162ce1
东森洋片台,mitv://generationnexxxt.com:19806/5e8420f5477344b9b7b39d9e96162ce1
好莱坞电影,P2p://generationnexxxt.com:19806/9862f4958472458ca2ebc718bb92a5c6
靖天电影,P2p://generationnexxxt.com:19806/d8c581e0e1a24823a3d2110e3584ef8b
靖天映画,P2p://generationnexxxt.com:19806/b723859f3ed94e5ba712148b209eefd0
龙华偶像,P2p://generationnexxxt.com:19806/5b720b1e1b404f129e7009363d3035f8
龙华影视,P2p://generationnexxxt.com:19806/1df6f5f0993a46faa17f676518654709
龙祥电影,P2p://generationnexxxt.com:19806/78502c9b515845a7baca6a3a6ea88b8a
龙祥电影,mitv://generationnexxxt.com:19806/78502c9b515845a7baca6a3a6ea88b8a
天映经典,P2p://generationnexxxt.com:19806/3ac31fa9f30145b68f8469b00d91b200
天映频道,P2p://generationnexxxt.com:19806/65e1b0870000c6d7c9dccba555040378
八大戏剧,mitv://generationnexxxt.com:19806/098f02d6d36d4ac88e89e0be6d838a94
八大戏剧,mitv://generationnexxxt.com:19806/4eec82bd1e634ceab82b90e395116c83
八大优频道,mitv://generationnexxxt.com:19806/7abaa68442ce4ed7ad7c9772fb46eda9
超视戏剧,P2p://generationnexxxt.com:19806/4fae332a68a04f3fa77a158ac1fa4bce
三立戏剧台,mitv://generationnexxxt.com:19806/7a5b874b630d457bb5997a2fe4690550
EYE TV戏剧,P2p://generationnexxxt.com:19806/2831986ed4b448c9b626788fbd3f2f89
HITS HD,mitv://generationnexxxt.com:19806/a65416c2039f4644aeef10da853fb928

🐉台湾线路,#genre#
民视,rtmp://f13h.mine.nu/sat/tv051
台视,rtmp://f13h.mine.nu/sat/tv071
中视,rtmp://f13h.mine.nu/sat/tv091
华视,rtmp://f13h.mine.nu/sat/tv111
非凡新闻,rtmp://f13h.mine.nu/sat/tv581
东森超视,rtmp://f13h.mine.nu/sat/tv331
纬来育乐,rtmp://f13h.mine.nu/sat/tv701
纬来日本,rtmp://f13h.mine.nu/sat/tv771
MoMo综合,rtmp://f13h.mine.nu/sat/tv761
纬来体育,rtmp://f13h.mine.nu/sat/tv721
DAZN体育-1,rtmp://f13h.mine.nu/sat/tv731
DAZN体育-2,rtmp://f13h.mine.nu/sat/tv741

中视,rtmp://220.130.201.73/sat/tv091
台视,rtmp://220.130.201.73/sat/tv071
民视,rtmp://220.130.201.73/sat/tv051
纬来体育,rtmp://220.130.201.73/sat/tv721
纬来育乐,rtmp://220.130.201.73/sat/tv701
纬来日本,rtmp://220.130.201.73/sat/tv771
东森超视,rtmp://220.130.201.73/sat/tv331

八大第一,http://61.221.215.25:8800/hls/55/index.m3u8
八大综合,http://61.221.215.25:8800/hls/56/index.m3u8
TVBS NEWS,http://61.221.215.25:8800/hls/9/index.m3u8
八大戏剧,http://61.221.215.25:8800/hls/39/index.m3u8
三立戏剧,http://61.221.215.25:8800/hls/41/index.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
纬来精彩,http://61.221.215.25:8800/hls/48/index.m3u8
探索亚洲,http://61.221.215.25:8800/hls/50/index.m3u8
动物星球,http://61.221.215.25:8800/hls/57/index.m3u8
凤凰资讯,http://61.221.215.25:8800/hls/47/index.m3u8
49号,http://61.221.215.25:8800/hls/49/index.m3u8
DW,http://61.221.215.25:8800/hls/1/index.m3u8
NHK WORLD,http://61.221.215.25:8800/hls/51/index.m3u8
大立电视,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8


時尚台FTV,http://80.94.54.42/fashiontv/stream/playlist.m3u8
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8


TVBS新闻,http://ali.hlspull.yximgs.com/live/twlivezozwhzxozhzzzlfhzlzszcnxzfvbhzdzwzfzzdsswvtvbsxw.flv
TVBS新闻,http://ali.hlspull.yximgs.com/live/huanqiuhklivejojwhjxojhjjjlfhjljsjcnxjfvbhjdjwjfjjdsswvtvbsxw.flv

中天新闻,http://154.9.228.245:9969/dibo2.php/?url=/live/a9a5de21/8j108vcc/index.m3u8
TVBS,http://154.9.228.245:9969/dibo2.php/?url=/live/a9a5de21/qb4zc9s7/index.m3u8

年代新闻,http://211.23.114.106:8517/http/60.251.39.91:8081/hls/67/809/ch27.m3u8
东森新闻,http://211.23.114.106:8510/http/61.221.81.94:8088/hls/71/813/ch44.m3u8

韩国电影1,https://stream.ads.ottera.tv/playlist.m3u8?network_id=595
韩国电影2,https://stream.ads.ottera.tv/playlist.m3u8?network_id=743
韩国电影3,https://stream.ads.ottera.tv/playlist.m3u8?network_id=742

LOVENATURE 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
CNA,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
动物世界 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
好消息綜合台,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8

镜新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
半岛新闻台,http://live-hls-web-aje.getaj.net/AJE/01.m3u8

TVBS新闻,http://livetv.skycf.eu.org/live.m3u8?c=5
靖宇综合,http://stream8.jlntv.cn/jytv/sd/live.m3u8

人間衛視,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
Arirang,https://amdlive-ch01-ctnd-com.akamaized.net/arirang_1ch/smil:arirang_1ch.smil/chunklist_b3256000_sleng.m3u8

台湾美线,#genre#
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist0.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist0.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/chunklist1.m3u8
台视新闻,http://38.64.72.148/hls/modn/list/4013/playlist.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist0.m3u8?blog.ntnas.top
华语电视,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist1.m3u8
TVBS亚洲,http://38.64.72.148/hls/modn/list/4005/chunklist0.m3u8
TVBS亚洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
东森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
TVBS新闻,http://38.64.72.148:80/hls/modn/list/4006/chunklist0.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist1.m3u8
TVBS新闻,http://38.64.72.148/hls/modn/list/4006/chunklist0.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8
华语电视2,http://38.64.72.148:80/hls/modn/list/4002/chunklist0.m3u8
华语电视3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
东森超视,http://38.64.72.148:80/hls/modn/list/2013/chunklist1.m3u8

台湾俄线,#genre#
凤凰资讯,http://194.87.101.118/live.m3u8?c=2
中天亚洲,http://194.87.101.118/live.m3u8?c=3
台视新闻,http://194.87.101.118/live.m3u8?c=4
TVBS新闻,http://194.87.101.118/live.m3u8?c=5
中视新闻,http://194.87.101.118/live.m3u8?c=6
中天新闻,http://194.87.101.118/live.m3u8?c=7
公视新闻,http://194.87.101.118/live.m3u8?c=8
鏡新闻,http://194.87.101.118/live.m3u8?c=10
民视新闻,http://194.87.101.118/live.m3u8?c=11
三立新闻,http://194.87.101.118/live.m3u8?c=12
华视新闻,http://194.87.101.118/live.m3u8?c=13
东森财经,http://194.87.101.118/live.m3u8?c=14

体育直播🏆,#genre#
纬来体育,rtmp://f13h.mine.nu/sat/tv721
DAZN体育-1,rtmp://f13h.mine.nu/sat/tv731
DAZN体育-2,rtmp://f13h.mine.nu/sat/tv741
J体育1,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs18&isp=10&bind=0&uin=159413&playseek=0
J体育2,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs19&isp=10&bind=0&uin=159413&playseek=0
J体育3,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs21&isp=10&bind=0&uin=159413&playseek=0
J体育4,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs22&isp=10&bind=0&uin=159413&playseek=0
J体育1,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs18
J体育2,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs19
J体育3,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs21
J体育4,http://cdns.jp-primehome.com:8000/zhongying/live/playlist.m3u8?cid=bs22
J体育1,https://stream01.willfonk.com/live_playlist.m3u8?cid=BS242&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
J体育2,https://stream01.willfonk.com/live_playlist.m3u8?cid=BS243&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
J体育3,https://stream01.willfonk.com/live_playlist.m3u8?cid=BS244&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
J体育4,https://stream01.willfonk.com/live_playlist.m3u8?cid=BS245&r=FHD&ccode=JP&m=d0:20:20:04:35:cc&t=0d6938cb3dcf4b79848bc1753a59daf1
迪拜体育6,http://dmitwlvvll.cdn.mangomolo.com/dubaisportshd/smil:dubaisportshd.smil/chunklist_b1600000.m3u8
Trace Sports Stars,https://trace-sportstars-samsungnz.amagi.tv/playlist.m3u8
Trace Sports Stars,https://trace-sportstars-samsungnz.amagi.tv/playlist.m3u8?checkedby:iptvcat.com
皇马,https://stream.ads.ottera.tv/playlist.m3u8?network_id=1545


体育德线🏆,#genre#
FUSSBALL.TV 1 FHD,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639321.m3u8
FUSSBALL.TV 1ᵁᴴᴰ,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639320.m3u8
FUSSBALL.TV 2 FHD,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639318.m3u8
FUSSBALL.TV 2ᵁᴴᴰ,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639317.m3u8
FUSSBALL.TV 3 FHD,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639316.m3u8
FUSSBALL.TV 3ᵁᴴᴰ,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/639314.m3u8
NOW 英超 1,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419552.m3u8
NOW 英超 2,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419551.m3u8
NOW 英超 3,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419550.m3u8
NOW 英超 4,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419549.m3u8
NOW 英超 5,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419548.m3u8
NOW 英超 6,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419547.m3u8
NOW 英超 7,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419546.m3u8
NOW 4K HDR,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419537.m3u8
NOW 1台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419538.m3u8
NOW 2台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419539.m3u8
NOW 3台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419540.m3u8
NOW 4台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419541.m3u8
NOW 5台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419542.m3u8
NOW 6台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419543.m3u8
NOW 7台,http://mutant.arrox.top:80/live/iPKJmCy0r/krfwNE8z4h/419544.m3u8

体育奥地利🏆,#genre#
NOW 体育 英超 1,http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:C1:BF:64&stream=1032487&extension=ts&play_token=Rx6nFRdBc3
NOW 体育 英超 2,http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:C1:BF:64&stream=1032486&extension=ts&play_token=EJzjvUqZyt
NOW 体育 英超 3,http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:C1:BF:64&stream=1032485&extension=ts&play_token=LBv0p8nQul
NOW 体育 英超 4,http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:C1:BF:64&stream=1032484&extension=ts&play_token=0UbzWv4LKO
NOW 体育 英超 5,http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:C1:BF:64&stream=1032483&extension=ts&play_token=vFf9lcNExR
NOW 体育 英超 6,http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:C1:BF:64&stream=1032482&extension=ts&play_token=udUfsTu1Xy
NOW 体育 英超 7,http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:C1:BF:64&stream=1032481&extension=ts&play_token=AHm3M4qJTd
NOW 体育 英超 8,http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:C1:BF:64&stream=1032480&extension=ts&play_token=W7cnjxq1Wm
NOW 体育 英超 4K 616,http://tv.trexiptv.com:80/play/live.php?mac=00:1A:79:C1:BF:64&stream=1032489&extension=ts&play_token=MqXK0d9peI
